policy_id,age,vehicle_type,vehicle_age,annual_mileage,accident_history,claim
1,54,Motorcycle,17,9911,4,false
2,52,Tractor,15,7217,0,false
3,55,Tractor,17,9734,3,false
4,74,Motorcycle,0,20377,0,true
5,78,Motorcycle,2,26606,1,true
6,42,Sedan,3,27575,1,false
7,73,Sedan,8,16520,5,false
8,18,Sedan,7,16060,5,false
9,63,Sedan,20,19865,5,false
10,55,Motorcycle,14,12540,0,false
11,24,SUV,18,24782,1,true
12,62,Truck,20,22900,2,true
13,72,Sedan,20,16994,3,false
14,48,Sedan,10,6497,2,false
15,61,SUV,19,20720,0,true
16,51,Tractor,18,10139,0,true
17,48,Truck,7,20414,1,false
18,24,Sedan,19,21565,5,true
19,29,Motorcycle,1,29934,4,false
20,65,Motorcycle,12,19054,5,false
21,75,Sedan,14,25839,5,true
22,29,SUV,15,10123,3,false
23,39,Motorcycle,11,23092,5,false
24,45,Sedan,16,5869,5,false
25,69,SUV,11,23867,3,true
26,66,SUV,15,19413,5,true
27,39,SUV,20,14498,4,true
28,48,Motorcycle,9,9930,1,false
29,26,Motorcycle,11,28912,2,false
30,64,Motorcycle,3,23637,3,false
31,19,Truck,1,9566,2,false
32,70,SUV,2,13321,0,false
33,25,Truck,4,15540,3,true
34,36,Motorcycle,15,27397,0,true
35,65,Tractor,5,21651,0,true
36,19,Tractor,15,22177,0,true
37,35,Motorcycle,4,29494,5,false
38,27,Motorcycle,4,20714,0,true
39,44,Motorcycle,13,7365,0,true
40,57,Sedan,0,26534,4,false
41,63,Sedan,1,16328,1,true
42,21,SUV,19,13271,3,true
43,53,Tractor,10,15934,4,true
44,31,Truck,9,6245,0,true
45,68,Sedan,8,10902,4,false
46,50,Sedan,13,8301,3,true
47,57,Motorcycle,16,23342,5,true
48,40,Truck,9,7006,4,true
49,68,Motorcycle,1,14879,2,true
50,36,Truck,5,23426,0,false
51,68,Tractor,5,15725,0,true
52,53,Motorcycle,1,10517,4,true
53,77,Truck,20,18562,4,false
54,76,SUV,3,20098,4,false
55,29,Sedan,13,18214,4,false
56,72,Sedan,4,12468,5,true
57,70,Tractor,11,9890,2,false
58,33,Sedan,16,8282,0,true
59,34,Tractor,5,6199,0,true
60,55,SUV,15,23288,3,false
61,54,SUV,16,25112,4,true
62,56,SUV,4,29709,5,false
63,24,Sedan,0,5552,1,true
64,34,Sedan,19,24134,1,false
65,53,Truck,20,7719,1,false
66,39,Motorcycle,1,8567,5,true
67,71,Sedan,1,23689,3,true
68,35,Sedan,12,28700,5,true
69,19,Sedan,5,29344,1,false
70,26,Tractor,10,25749,1,true
71,67,SUV,12,6565,0,false
72,71,Motorcycle,15,15538,1,true
73,43,Motorcycle,7,11447,1,false
74,79,Truck,0,21490,4,true
75,48,Tractor,0,12447,0,true
76,76,Truck,6,11672,2,true
77,73,Tractor,16,12604,5,true
78,66,Truck,13,13739,0,false
79,45,Tractor,8,29102,0,false
80,77,Truck,0,6980,4,false
81,56,Sedan,12,29953,1,false
82,53,Sedan,20,20793,2,true
83,64,Sedan,15,15437,5,true
84,71,Truck,11,5482,2,true
85,60,Motorcycle,18,18344,1,true
86,74,SUV,10,25954,2,true
87,58,Truck,13,18839,1,true
88,38,Truck,5,12615,2,true
89,80,Motorcycle,16,9198,4,true
90,20,Tractor,5,17798,3,true
91,34,Truck,7,8885,4,true
92,37,SUV,8,17906,0,false
93,73,Tractor,19,7948,2,false
94,57,Motorcycle,13,25281,0,false
95,76,SUV,6,26820,2,true
96,18,SUV,11,11008,2,true
97,69,SUV,18,18466,0,true
98,61,Tractor,19,11596,1,true
99,19,Sedan,9,6653,3,false
100,61,Tractor,19,9657,5,false
101,25,SUV,16,11926,0,true
102,50,Motorcycle,9,18198,5,false
103,20,Tractor,6,5086,0,false
104,51,Motorcycle,13,7615,2,true
105,36,Truck,7,28798,1,false
106,43,Truck,12,11033,1,true
107,35,Truck,15,13738,4,false
108,69,Sedan,12,16519,1,true
109,43,Tractor,5,6377,4,false
110,77,Tractor,7,28549,2,false
111,78,Sedan,12,28802,0,false
112,71,Sedan,1,10880,2,false
113,75,SUV,5,25238,2,false
114,39,Tractor,18,26711,2,true
115,37,Truck,14,14300,0,true
116,40,Truck,13,11535,5,true
117,34,Tractor,19,26970,5,false
118,54,Sedan,18,5483,3,false
119,78,Tractor,5,15639,1,true
120,49,Motorcycle,18,27672,2,true
121,65,SUV,10,23379,1,false
122,43,Truck,20,22886,4,false
123,22,Tractor,17,6155,1,false
124,25,SUV,19,25412,2,false
125,56,Tractor,6,16000,2,true
126,38,Motorcycle,5,20748,3,false
127,47,Tractor,5,14231,0,false
128,80,Tractor,10,22970,5,false
129,44,Sedan,15,7362,3,false
130,21,SUV,19,9542,2,true
131,51,SUV,3,18646,1,false
132,55,Tractor,16,18723,4,false
133,69,Motorcycle,10,16425,0,true
134,38,Tractor,4,5280,3,false
135,29,Sedan,12,16934,5,true
136,68,Motorcycle,14,26428,0,true
137,29,SUV,1,21359,5,false
138,59,Truck,9,10192,2,false
139,71,Motorcycle,19,20855,3,false
140,22,Motorcycle,5,25900,4,false
141,68,Motorcycle,10,17724,5,false
142,73,Sedan,14,25985,0,true
143,46,Sedan,2,10914,3,false
144,21,Tractor,16,22078,2,false
145,62,SUV,4,14843,1,false
146,32,Truck,13,12400,3,false
147,34,Truck,14,9559,2,false
148,20,Tractor,16,5056,0,true
149,60,Motorcycle,1,26243,4,true
150,75,Sedan,15,26588,0,false
151,56,SUV,3,26357,2,false
152,46,Truck,11,17067,1,true
153,32,SUV,13,27052,3,true
154,48,Motorcycle,0,21500,5,true
155,19,Motorcycle,13,16329,0,true
156,21,Truck,3,13913,0,true
157,80,Motorcycle,11,10419,4,false
158,59,Motorcycle,1,18265,4,false
159,61,Truck,20,15915,0,false
160,53,Motorcycle,15,17730,4,false
161,68,Sedan,8,12599,1,true
162,60,Tractor,2,25670,2,true
163,48,Motorcycle,7,14364,5,true
164,76,Sedan,18,14147,4,false
165,80,Sedan,13,24220,2,true
166,53,Motorcycle,0,9350,4,false
167,57,Truck,7,13513,4,false
168,45,SUV,8,27022,5,false
169,68,Truck,10,12646,5,false
170,48,Truck,10,7207,2,false
171,26,Tractor,15,20783,1,false
172,59,Sedan,4,5679,3,true
173,59,SUV,17,11111,2,true
174,37,Sedan,3,8595,0,true
175,73,Tractor,5,11947,5,true
176,67,Sedan,2,24124,1,false
177,57,Motorcycle,17,12650,1,true
178,54,Motorcycle,15,25618,5,false
179,29,SUV,5,18306,1,true
180,69,Tractor,0,15727,4,false
181,44,Motorcycle,19,8604,5,true
182,61,Tractor,1,16535,4,false
183,32,Motorcycle,12,20041,1,false
184,34,Motorcycle,10,25716,1,true
185,62,SUV,11,6240,1,false
186,49,SUV,12,20331,2,true
187,27,Motorcycle,8,16167,0,false
188,54,Sedan,20,28497,4,false
189,72,Truck,10,12133,4,false
190,44,Motorcycle,2,18371,3,false
191,19,Truck,18,10009,0,false
192,61,Truck,16,13932,4,false
193,21,Sedan,9,13157,3,true
194,52,Sedan,5,22420,4,true
195,38,SUV,12,6010,3,false
196,33,SUV,16,26795,0,false
197,44,Sedan,10,19803,2,false
198,76,Motorcycle,4,20564,4,true
199,21,Sedan,19,17744,5,true
200,80,SUV,7,29229,3,false
201,77,Motorcycle,2,25984,4,true
202,37,Sedan,5,24668,4,true
203,80,Truck,4,17360,0,true
204,76,SUV,14,26679,1,true
205,20,Tractor,15,23792,3,true
206,55,Motorcycle,11,6504,0,false
207,50,Sedan,1,10600,3,true
208,26,SUV,11,29803,4,true
209,56,Motorcycle,20,19328,3,false
210,56,Sedan,3,16578,2,true
211,29,Motorcycle,16,20386,3,true
212,49,Sedan,7,17971,1,false
213,69,SUV,16,26490,5,false
214,51,Truck,19,22324,5,false
215,23,Tractor,20,26497,5,true
216,55,Sedan,10,6743,1,true
217,69,Tractor,1,28604,3,true
218,26,SUV,12,6819,0,false
219,59,Sedan,12,24529,4,true
220,22,SUV,13,27204,5,false
221,36,SUV,11,25159,2,false
222,49,Tractor,10,14015,2,false
223,34,Sedan,16,17061,0,true
224,51,Truck,12,10541,4,true
225,47,Tractor,10,16813,1,false
226,79,Tractor,6,23673,5,false
