age,vehicle_age,annual_mileage,accident_history,vehicle_type_SUV,vehicle_type_Sedan,vehicle_type_Tractor,vehicle_type_Truck,claim
48,10,28011,1,False,True,False,False,True
77,20,18562,4,False,False,False,True,False
29,15,12293,5,True,False,False,False,True
50,9,18198,5,False,False,False,False,False
32,13,27052,3,True,False,False,False,True
47,13,6823,4,False,True,False,False,False
20,16,5056,0,False,False,True,False,True
76,12,27951,3,False,True,False,False,False
44,12,12594,0,True,False,False,False,False
60,19,26798,4,False,False,False,False,False
24,10,12189,5,False,False,False,False,False
40,6,5230,4,True,False,False,False,True
75,20,12021,2,True,False,False,False,True
53,16,23551,0,False,False,False,False,False
51,19,18780,0,False,False,False,False,True
41,20,26956,3,True,False,False,False,True
58,8,17062,0,True,False,False,False,False
54,14,28384,2,False,False,True,False,False
31,19,12742,4,False,False,True,False,False
26,15,20783,1,False,False,True,False,False
58,13,18839,1,False,False,False,True,True
71,18,23044,5,False,False,True,False,True
22,3,10860,2,False,False,True,False,False
26,3,20663,0,False,True,False,False,True
41,11,27139,1,False,False,False,False,True
43,20,22886,4,False,False,False,True,False
31,3,9091,1,False,False,False,False,True
66,11,18173,2,True,False,False,False,False
48,15,11924,4,False,False,False,False,True
25,9,6031,2,False,True,False,False,False
52,16,16293,5,False,True,False,False,True
74,6,29883,2,False,True,False,False,True
51,4,15945,2,True,False,False,False,True
21,19,13271,3,True,False,False,False,True
79,0,21490,4,False,False,False,True,True
48,0,12447,0,False,False,True,False,True
51,2,21803,1,False,False,True,False,True
68,16,5748,5,True,False,False,False,False
48,10,7207,2,False,False,False,True,False
37,3,8595,0,False,True,False,False,True
70,2,17761,4,False,False,False,True,False
45,16,5869,5,False,True,False,False,False
18,4,26087,1,False,True,False,False,False
45,0,10062,2,False,False,False,False,True
46,6,16248,5,False,True,False,False,True
71,15,5757,0,False,False,False,True,False
22,20,15612,4,False,False,True,False,False
45,19,21295,2,False,True,False,False,True
68,8,12599,1,False,True,False,False,True
30,14,18589,1,True,False,False,False,True
55,13,25340,5,False,True,False,False,False
30,9,27054,4,False,False,False,False,True
75,17,29507,1,True,False,False,False,True
68,15,25199,1,True,False,False,False,True
46,20,15655,4,False,True,False,False,True
28,11,13292,2,False,False,False,True,True
71,1,10880,2,False,True,False,False,False
48,12,13694,0,False,False,True,False,True
76,2,11469,1,False,False,True,False,True
51,19,23230,5,False,False,True,False,True
59,2,11688,3,False,True,False,False,True
62,20,22900,2,False,False,False,True,True
65,10,23379,1,True,False,False,False,False
43,12,11033,1,False,False,False,True,True
59,11,12239,5,False,True,False,False,True
19,12,19591,1,False,False,False,False,True
59,3,12994,5,False,False,True,False,True
19,9,6653,3,False,True,False,False,False
80,13,24220,2,False,True,False,False,True
41,5,29051,4,False,True,False,False,False
45,6,11506,3,False,False,True,False,True
30,17,15695,0,False,False,False,True,True
48,12,29013,4,False,False,False,True,True
