age,vehicle_age,annual_mileage,accident_history,vehicle_type_SUV,vehicle_type_Sedan,vehicle_type_Tractor,vehicle_type_Truck,claim
48,10,28011,1,0,1,0,0,1
77,20,18562,4,0,0,0,1,0
29,15,12293,5,1,0,0,0,1
50,9,18198,5,0,0,0,0,0
32,13,27052,3,1,0,0,0,1
47,13,6823,4,0,1,0,0,0
20,16,5056,0,0,0,1,0,1
76,12,27951,3,0,1,0,0,0
44,12,12594,0,1,0,0,0,0
60,19,26798,4,0,0,0,0,0
24,10,12189,5,0,0,0,0,0
40,6,5230,4,1,0,0,0,1
75,20,12021,2,1,0,0,0,1
53,16,23551,0,0,0,0,0,0
51,19,18780,0,0,0,0,0,1
41,20,26956,3,1,0,0,0,1
58,8,17062,0,1,0,0,0,0
54,14,28384,2,0,0,1,0,0
31,19,12742,4,0,0,1,0,0
26,15,20783,1,0,0,1,0,0
58,13,18839,1,0,0,0,1,1
71,18,23044,5,0,0,1,0,1
22,3,10860,2,0,0,1,0,0
26,3,20663,0,0,1,0,0,1
41,11,27139,1,0,0,0,0,1
43,20,22886,4,0,0,0,1,0
31,3,9091,1,0,0,0,0,1
66,11,18173,2,1,0,0,0,0
48,15,11924,4,0,0,0,0,1
25,9,6031,2,0,1,0,0,0
52,16,16293,5,0,1,0,0,1
74,6,29883,2,0,1,0,0,1
51,4,15945,2,1,0,0,0,1
21,19,13271,3,1,0,0,0,1
79,0,21490,4,0,0,0,1,1
48,0,12447,0,0,0,1,0,1
51,2,21803,1,0,0,1,0,1
68,16,5748,5,1,0,0,0,0
48,10,7207,2,0,0,0,1,0
37,3,8595,0,0,1,0,0,1
70,2,17761,4,0,0,0,1,0
45,16,5869,5,0,1,0,0,0
18,4,26087,1,0,1,0,0,0
45,0,10062,2,0,0,0,0,1
46,6,16248,5,0,1,0,0,1
71,15,5757,0,0,0,0,1,0
22,20,15612,4,0,0,1,0,0
45,19,21295,2,0,1,0,0,1
68,8,12599,1,0,1,0,0,1
30,14,18589,1,1,0,0,0,1
55,13,25340,5,0,1,0,0,0
30,9,27054,4,0,0,0,0,1
75,17,29507,1,1,0,0,0,1
